epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,199.821,0.50867,0.957,1,0.1155,0.000414583,0.000414583,0.000414583
2,394.724,0.19108,0.9375,1,0.16215,0.000748956,0.000748956,0.000748956
3,592.885,0.19309,0.943,1,0.15021,0.00100083,0.00100083,0.00100083
4,793.592,0.18817,0.9565,1,0.11678,0.00087875,0.00087875,0.00087875
5,993.311,0.15048,0.9595,1,0.1138,0.000755,0.000755,0.000755
6,1194.3,0.11699,0.9755,1,0.06698,0.00063125,0.00063125,0.00063125
7,1398.73,0.07814,0.9365,1,0.19054,0.0005075,0.0005075,0.0005075
8,1601.65,0.05135,0.978,1,0.05887,0.00038375,0.00038375,0.00038375
9,1804.69,0.05104,0.9785,1,0.05794,0.00026,0.00026,0.00026
10,2009.03,0.0411,0.9665,1,0.08475,0.00013625,0.00013625,0.00013625
